HHID,province,district_real,altitude_m,farm_size_ha,soil_ph,nitrogen,phosphorus,potassium,soc,annual_rainfall_mm,avg_temperature_C,avg_humidity_pct,used_improved_seed,used_inorganic_fert,used_organic_fert,used_pesticide,used_irrigation,soil_measures_count,num_crops_grown,grew_maize,grew_beans,grew_cassava,grew_rice,grew_irish_potato,grew_tomato,grew_sweet_potato,grew_banana,yield_maize_t_ha,yield_beans_t_ha,yield_cassava_t_ha,yield_rice_t_ha,yield_irish_potato_t_ha,yield_tomato_t_ha,yield_sweet_potato_t_ha,yield_banana_t_ha,recommended_crop,recommended_confidence,weight
HHD100045,Northern,Gicumbi,1869,0.81,6.46,0.29,0.147,0.465,1.3,901.7,20.18,67.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,18.39,banana,1.0,2.587
HHD100046,Kigali,Nyarugenge,1387,0.32,5.3,0.309,0.154,0.342,3.59,1135.5,20.52,73.3,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0,,1.15,,4.14,,,,,rice,0.783,0.793
HHD100047,Southern,Nyamagabe,1561,0.42,6.81,0.39,0.158,0.02,3.18,945.7,20.97,57.7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,,,,3.95,,,,,rice,1.0,0.634
HHD100048,Southern,Muhanga,1656,1.06,6.26,0.499,0.074,0.626,2.94,994.6,26.27,80.4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,7.99,,,,,rice,1.0,1.215
HHD100049,Southern,Nyaruguru,1574,0.55,7.3,0.092,0.005,0.47,0.2,745.0,23.61,81.8,0,1,0,0,0,0,3,0,0,1,0,0,1,0,1,,,12.07,,,16.18,,19.86,banana,0.413,1.46
HHD100050,Kigali,Nyarugenge,1529,0.3,5.34,0.02,0.133,0.389,2.62,884.3,19.25,79.5,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,,,15.0,4.81,,,,,cassava,0.757,1.978
HHD100051,Northern,Gicumbi,1761,1.84,4.62,0.636,0.091,0.516,1.24,1373.3,18.16,68.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,17.36,,,,,,cassava,1.0,1.022
HHD100052,Southern,Nyaruguru,1631,1.21,6.26,0.357,0.188,0.066,3.12,1029.4,20.94,64.8,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,,1.67,,5.95,,,,,rice,0.781,1.998
HHD100053,Kigali,Nyarugenge,1375,1.29,6.0,0.184,0.106,0.256,1.61,1088.9,22.68,65.9,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,,,,,13.42,,,,irish_potato,1.0,3.14
HHD100054,Eastern,Rwamagana,1224,3.27,5.4,0.02,0.135,0.17,1.63,693.0,20.69,84.6,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,,,18.1,,,,,31.08,banana,0.632,1.054
HHD100055,Southern,Huye,1553,2.39,5.5,0.401,0.172,0.278,3.05,1127.4,19.27,60.0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,,,31.88,,,,,39.97,banana,0.556,0.862
HHD100056,Southern,Nyamagabe,1518,0.63,6.14,0.422,0.144,0.08,3.51,728.4,17.08,59.4,0,1,1,0,0,1,3,0,1,0,0,1,1,0,0,,1.97,,,18.88,25.74,,,tomato,0.552,4.936
HHD100057,Northern,Musanze,1833,1.06,5.55,0.255,0.172,0.301,2.81,932.8,20.51,75.0,1,1,0,1,0,1,2,0,1,0,0,1,0,0,0,,2.99,,,24.3,,,,irish_potato,0.89,2.42
HHD100058,Kigali,Nyarugenge,1484,1.12,5.2,0.406,0.094,0.326,1.46,542.6,23.68,70.2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,4.11,,,,,,,,maize,1.0,4.041
HHD100059,Kigali,Kicukiro,1400,1.1,6.57,0.441,0.005,0.226,2.71,928.5,21.33,69.7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3.69,,,,,,,,maize,1.0,0.769
HHD100060,Northern,Burera,1767,2.26,5.83,0.646,0.106,0.25,3.55,574.2,22.57,76.9,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,4.77,,,,,,,24.51,banana,0.837,1.646
HHD100061,Eastern,Rwamagana,1198,1.8,5.05,0.329,0.199,0.37,4.44,812.9,21.86,63.2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,,,,,18.66,,,31.29,banana,0.626,0.643
HHD100062,Western,Rubavu,1407,2.09,5.63,0.446,0.177,0.449,1.92,704.2,19.77,80.0,1,0,1,0,0,3,2,0,0,0,0,1,0,1,0,,,,,21.22,,27.25,,sweet_potato,0.562,2.594
HHD100063,Southern,Huye,1717,1.73,5.91,0.321,0.151,0.185,3.7,976.7,26.77,91.1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,,,18.19,,,,,35.91,banana,0.664,2.531
HHD100064,Southern,Gisagara,1600,0.3,6.39,0.262,0.239,0.573,3.14,927.5,23.13,83.8,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,,,11.93,,,,,12.99,banana,0.521,0.423
HHD100065,Northern,Gicumbi,1850,0.11,4.84,0.697,0.169,0.447,2.85,820.3,21.67,88.9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,,,,,,,10.59,22.32,banana,0.678,1.221
HHD100066,Western,Nyamasheke,1269,0.53,6.26,0.521,0.124,0.336,1.3,656.2,20.73,76.0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,,,16.66,4.01,,,,,cassava,0.806,0.126
HHD100067,Kigali,Nyarugenge,1345,0.08,6.21,0.29,0.013,0.369,2.21,744.5,19.73,96.9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,22.78,banana,1.0,1.636
HHD100068,Southern,Gisagara,1509,0.78,6.14,0.282,0.133,0.02,1.26,892.4,23.35,79.4,0,1,0,1,1,1,3,1,0,1,0,0,0,0,1,3.6,,15.4,,,,,24.69,banana,0.565,0.677
HHD100069,Kigali,Nyarugenge,1483,3.51,6.04,0.318,0.046,0.436,4.45,830.6,24.49,83.1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,5.4,,15.32,,,,,,cassava,0.739,0.805
HHD100070,Northern,Gicumbi,1800,2.09,6.43,0.371,0.097,0.02,2.37,991.0,20.49,66.8,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,,1.57,,4.4,,,,,rice,0.737,0.24
HHD100071,Eastern,Bugesera,1147,0.07,6.56,0.752,0.118,0.626,2.62,1022.1,24.18,87.1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,14.98,,,,irish_potato,1.0,2.19
HHD100072,Northern,Burera,1745,1.15,5.45,0.426,0.054,0.608,1.85,998.7,20.34,76.5,1,0,1,0,0,0,2,1,0,0,0,0,0,0,1,4.48,,,,,,,25.94,banana,0.853,2.854
HHD100073,Southern,Muhanga,1622,1.41,6.65,0.568,0.099,0.534,3.12,1256.2,20.97,68.9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,26.15,banana,1.0,5.231
HHD100074,Southern,Gisagara,1574,0.81,5.76,0.02,0.041,0.555,1.83,812.0,20.24,82.2,0,1,0,0,0,0,3,1,0,0,0,0,1,0,1,3.5,,,,,19.86,,28.93,banana,0.553,4.269
HHD100075,Southern,Muhanga,1623,2.67,5.84,0.257,0.104,0.889,2.16,720.9,24.57,64.5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,,,,,21.76,,,tomato,1.0,3.405
HHD100076,Northern,Musanze,1759,0.8,5.85,0.46,0.055,0.261,3.79,735.8,23.37,73.9,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,,,,,,9.02,,sweet_potato,1.0,1.233
HHD100077,Northern,Gicumbi,1902,0.09,6.17,0.02,0.005,0.384,2.56,650.0,17.45,75.5,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,,,,,,17.54,,27.13,banana,0.607,1.742
HHD100078,Northern,Gicumbi,1833,1.24,5.49,0.366,0.106,0.456,1.32,1030.3,22.19,85.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,13.47,,sweet_potato,1.0,0.813
HHD100079,Kigali,Nyarugenge,1459,2.18,6.24,0.423,0.134,0.067,2.21,906.6,19.84,78.5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,29.72,,,,irish_potato,1.0,3.21
HHD100080,Southern,Muhanga,1656,1.1,6.21,0.02,0.082,0.217,1.89,1097.9,20.67,64.7,1,0,0,1,0,1,2,0,0,0,1,0,1,0,0,,,,6.79,,16.21,,,tomato,0.705,0.332
HHD100081,Eastern,Rwamagana,1147,1.29,6.59,0.062,0.199,0.349,1.9,804.5,21.36,80.0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,,,,9.24,,,16.48,,sweet_potato,0.641,1.881
HHD100082,Western,Nyabihu,1359,0.63,6.72,0.722,0.162,0.02,1.71,790.6,20.31,63.5,1,0,0,1,0,1,2,1,0,0,0,1,0,0,0,5.11,,,,10.02,,,,irish_potato,0.662,3.58
HHD100083,Kigali,Kicukiro,1326,2.33,6.16,0.646,0.094,0.165,3.33,1028.4,18.25,65.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,,,11.12,,,,,rice,1.0,0.713
HHD100084,Western,Ngororero,1434,1.06,5.58,0.407,0.056,0.277,2.44,1063.8,20.41,58.5,1,1,0,1,0,0,2,0,0,0,0,0,0,1,1,,,,,,,13.57,45.35,banana,0.77,5.15
HHD100085,Kigali,Nyarugenge,1516,1.07,5.18,0.465,0.244,0.199,3.45,726.7,22.94,77.0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,3.83,,,,,,11.75,,sweet_potato,0.754,0.523
HHD100086,Eastern,Bugesera,1183,0.99,5.84,0.093,0.018,0.238,4.15,899.3,21.84,59.2,1,0,1,1,0,0,2,0,1,1,0,0,0,0,0,,2.21,14.25,,,,,,cassava,0.866,2.067
HHD100087,Western,Karongi,1439,1.94,5.96,0.029,0.167,0.152,3.88,1093.4,18.33,76.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.69,,,,,,,,maize,1.0,0.736
HHD100088,Kigali,Nyarugenge,1422,1.6,6.03,0.541,0.131,0.557,3.9,663.1,24.81,83.5,1,0,0,0,1,0,3,0,1,1,1,0,0,0,0,,3.55,15.77,5.2,,,,,cassava,0.643,0.663
HHD100089,Northern,Musanze,1747,1.54,6.44,0.715,0.087,0.146,3.85,829.8,24.41,70.7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,8.32,,,,,rice,1.0,2.324
HHD100090,Southern,Gisagara,1494,1.53,5.59,0.471,0.248,0.072,0.74,801.3,20.89,59.7,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,,2.41,,,,33.62,,,tomato,0.933,4.166
HHD100091,Northern,Rulindo,1669,1.14,4.89,0.209,0.136,0.383,2.98,800.1,26.74,74.2,1,0,1,0,0,1,2,0,0,0,0,0,1,0,1,,,,,,24.46,,20.49,tomato,0.544,3.865
HHD100092,Southern,Muhanga,1643,0.42,6.94,0.213,0.134,0.539,1.69,760.5,23.67,61.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1.02,,,,,,,beans,1.0,2.664
HHD100093,Kigali,Kicukiro,1411,0.31,6.96,0.371,0.143,0.02,1.75,1057.7,18.76,74.7,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,,1.07,,,,11.97,,,tomato,0.918,1.189
HHD100094,Southern,Huye,1556,0.6,5.77,0.373,0.17,0.62,2.39,890.3,25.27,73.6,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,3.14,,17.33,,,,,,cassava,0.847,1.639
HHD100095,Eastern,Rwamagana,1125,0.31,5.28,0.412,0.279,0.436,3.27,925.3,20.13,84.9,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,,,,,11.56,11.13,,,irish_potato,0.509,2.046
HHD100096,Kigali,Nyarugenge,1453,1.2,5.5,0.64,0.005,0.103,1.48,1152.7,25.42,70.8,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,,,,,21.26,banana,1.0,2.04
HHD100097,Southern,Muhanga,1551,1.25,6.23,0.436,0.034,0.458,1.82,997.6,18.62,69.8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,5.27,,,,,rice,1.0,5.079
HHD100098,Southern,Muhanga,1653,1.46,7.16,0.408,0.113,0.335,1.62,1072.4,24.69,67.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,27.12,banana,1.0,0.443
HHD100099,Eastern,Bugesera,1274,0.68,6.69,0.5,0.178,0.499,2.5,883.3,19.51,92.3,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,3.3,,,6.81,,20.7,,,tomato,0.672,1.293
HHD100100,Western,Nyamasheke,1320,0.67,5.58,0.116,0.164,0.365,3.34,791.6,24.67,78.6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,33.4,banana,1.0,5.348
HHD100101,Southern,Ruhango,1718,2.25,5.2,0.291,0.033,0.476,1.99,814.6,17.61,60.2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,26.01,,,,irish_potato,1.0,0.732
HHD100102,Northern,Gicumbi,1855,0.21,5.72,0.828,0.167,0.451,3.15,1065.4,23.82,78.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,1.67,,,,,,,beans,1.0,2.021
HHD100103,Southern,Nyaruguru,1535,0.76,6.61,0.543,0.243,0.371,2.56,904.9,19.36,68.2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4.77,,,,,,,,maize,1.0,1.961
HHD100104,Southern,Gisagara,1526,0.3,6.98,0.442,0.147,0.096,2.99,838.4,20.49,61.8,1,0,0,0,0,2,2,0,1,1,0,0,0,0,0,,1.5,12.51,,,,,,cassava,0.893,1.905
HHD100105,Eastern,Bugesera,1215,2.29,5.59,0.143,0.171,0.539,1.48,885.6,22.87,79.1,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,,,,7.67,,25.62,,,tomato,0.77,2.26
HHD100106,Southern,Nyaruguru,1717,1.07,5.68,0.146,0.11,0.628,4.12,778.3,20.82,70.3,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,,,,,,18.08,,24.55,banana,0.576,1.288
HHD100107,Western,Rubavu,1299,2.09,5.12,0.235,0.069,0.324,2.29,749.7,20.48,74.7,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,,,,,,30.58,,,tomato,1.0,0.43
HHD100108,Eastern,Nyagatare,1210,1.48,6.81,0.359,0.139,0.336,5.02,856.9,21.96,59.1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,,,,,27.96,,,,irish_potato,1.0,0.969
HHD100109,Kigali,Nyarugenge,1349,1.27,5.29,0.486,0.049,0.341,1.34,795.7,22.49,85.7,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,,,5.59,,,,,rice,1.0,1.724
HHD100110,Northern,Musanze,1773,0.51,6.47,0.137,0.134,0.388,2.34,848.5,23.11,83.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,16.37,banana,1.0,3.02
HHD100111,Eastern,Nyagatare,1242,2.27,5.91,0.552,0.039,0.02,3.31,1051.3,22.31,85.4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,,,,7.76,,,12.37,,sweet_potato,0.615,2.335
HHD100112,Southern,Nyamagabe,1518,0.77,5.87,0.276,0.157,0.524,2.56,1282.0,17.74,83.8,1,1,0,0,0,1,2,0,1,0,0,0,0,0,1,,1.94,,,,,,28.99,banana,0.937,1.143
HHD100113,Northern,Rulindo,1677,0.28,6.76,0.275,0.224,0.02,2.96,712.7,23.68,76.2,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,2.25,1.5,11.55,,,,,,cassava,0.755,1.978
HHD100114,Kigali,Nyarugenge,1395,1.6,4.81,0.412,0.166,0.333,2.46,553.6,22.19,85.2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,,,19.85,,,,,,cassava,1.0,1.788
HHD100115,Eastern,Bugesera,1113,0.21,5.84,0.344,0.223,0.498,1.7,599.3,23.5,82.4,1,1,0,0,0,1,3,1,0,1,0,1,0,0,0,4.57,,13.53,,16.67,,,,irish_potato,0.479,2.314
HHD100116,Kigali,Gasabo,1509,1.84,6.02,0.481,0.266,0.288,4.22,959.1,22.77,69.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,33.73,banana,1.0,0.782
HHD100117,Kigali,Nyarugenge,1486,0.49,6.16,0.303,0.133,0.469,1.35,1100.6,17.98,90.0,1,0,1,0,1,0,2,0,0,1,0,0,0,1,0,,,11.63,,,,11.28,,cassava,0.508,1.739
HHD100118,Western,Rusizi,1507,1.08,7.15,0.625,0.071,0.149,1.4,1002.6,21.06,87.6,0,0,1,0,0,0,3,1,0,0,0,0,1,0,1,3.91,,,,,23.73,,28.38,banana,0.507,1.815
HHD100119,Eastern,Bugesera,1217,0.12,6.62,0.099,0.274,0.663,1.3,825.4,21.59,82.4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2.67,,,,,,,,maize,1.0,2.012
